filename;cvc4;z3
verify_inv_bvslt_bvnot_4bit14.smt2;unsat;unsat
verify_inv_bvuge_bvor_4bit17.smt2;unsat;unsat
verify_inv_bvule_bvand_4bit24.smt2;unsat;unsat
verify_inv_bvule_bvshl0_4bit26.smt2;unsat;unsat
verify_inv_bvsge_bvor_4bit21.smt2;unsat;unsat
verify_inv_bvule_bvand_4bit23.smt2;unsat;unsat
verify_inv_ne_bvshl1_4bit24.smt2;unsat;unsat
verify_inv_bvsle_bvudiv0_4bit9.smt2;unsat;unsat
verify_inv_eq_bvlshr0_4bit23.smt2;unsat;unsat
verify_inv_eq_bvand_4bit25.smt2;unsat;unsat
verify_inv_bvsgt_bvnot_4bit27.smt2;unsat;unsat
verify_inv_bvsle_bvurem0_4bit19.smt2;unsat;unsat
verify_inv_bvsle_bvurem0_4bit25.smt2;unsat;unsat
verify_inv_bvsgt_bvshl0_4bit24.smt2;unsat;unsat
verify_inv_bvslt_bvashr0_4bit7.smt2;unsat;unsat
verify_inv_eq_bvneg_4bit18.smt2;unsat;unsat
verify_inv_bvugt_bvshl0_4bit27.smt2;unsat;unsat
verify_inv_bvuge_bvashr1_4bit28.smt2;unsat;unsat
verify_inv_bvuge_bvand_4bit21.smt2;unsat;unsat
verify_inv_bvuge_bvor_4bit14.smt2;unsat;unsat
verify_inv_bvule_bvlshr0_4bit12.smt2;unsat;unsat
verify_inv_bvugt_bvand_4bit15.smt2;unsat;unsat
verify_inv_bvult_bvlshr0_4bit18.smt2;unsat;unsat
verify_inv_bvsge_bvurem0_4bit16.smt2;unsat;unsat
verify_inv_bvugt_bvudiv1_4bit27.smt2;unsat;unsat
verify_inv_bvult_bvneg_4bit24.smt2;unsat;unsat
verify_inv_bvsgt_bvnot_4bit14.smt2;unsat;unsat
verify_inv_bvslt_bvashr0_4bit30.smt2;unsat;unsat
verify_inv_eq_bvand_4bit8.smt2;unsat;unsat
verify_inv_bvugt_bvneg_4bit31.smt2;unsat;unsat
verify_inv_bvule_bvurem0_4bit11.smt2;unsat;unsat
verify_inv_bvuge_bvadd_4bit17.smt2;unsat;unsat
verify_inv_bvugt_bvurem0_4bit5.smt2;unsat;unsat
verify_inv_bvult_bvudiv0_4bit19.smt2;unsat;unsat
verify_inv_bvsge_bvudiv0_4bit19.smt2;sat;sat
verify_inv_eq_bvnot_4bit18.smt2;unsat;unsat
verify_inv_bvsgt_bvnot_4bit15.smt2;unsat;unsat
verify_inv_bvsge_bvneg_4bit17.smt2;unsat;unsat
verify_inv_bvule_bvand_4bit16.smt2;unsat;unsat
verify_inv_bvugt_bvlshr0_4bit23.smt2;unsat;unsat
verify_inv_bvsle_bvashr0_4bit31.smt2;unsat;unsat
verify_inv_bvsge_bvudiv0_4bit12.smt2;sat;sat
verify_inv_bvslt_bvudiv1_4bit28.smt2;sat;sat
