DIRECTORY;cvc4_cbqi;cvc4_default;cvc4_fmf;cvc4_tplanes;cvc4_tplanes_cbqi;cvc4_tplanes_fmf
BENCHMARK;STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s]
full-int_check_bvsle_bvudiv0_ltr.smt2;ok;1;0;1;5.88;ok;1;0;1;2.39;to;0;0;0;10800.12;ok;1;0;1;2.47;ok;1;0;1;5.77;to;0;0;0;10800.13
full-int_check_bvsle_bvudiv0_rtl.smt2;ok;1;0;1;4.74;ok;1;0;1;0.29;ok;1;0;1;355.79;ok;1;0;1;0.29;ok;1;0;1;4.66;ok;1;0;1;343.17
full-int_check_bvsle_bvudiv1_ltr.smt2;to;0;0;0;10800.1;ok;0;0;0;1.21;mo;0;0;0;3422.23;ok;0;0;0;1.11;to;0;0;0;10800.07;mo;0;0;0;4080.71
full-int_check_bvsle_bvudiv1_rtl.smt2;ok;1;0;1;1.65;ok;1;0;1;0.4;ok;1;0;1;1.38;ok;1;0;1;0.35;ok;1;0;1;1.66;ok;1;0;1;1.24
full-int_check_bvsle_bvurem0_ltr.smt2;to;0;0;0;10800.02;to;0;0;0;10644.56;to;0;0;0;10800.17;to;0;0;0;10800.08;to;0;0;0;10800.02;to;0;0;0;10800.1
full-int_check_bvsle_bvurem0_rtl.smt2;to;0;0;0;10800.04;ok;0;0;0;0.14;mo;0;0;0;10108.29;ok;0;0;0;0.14;to;0;0;0;10800.07;mo;0;0;0;9100.16
full-int_check_bvsle_bvurem1_ltr.smt2;ok;1;0;1;2.46;ok;1;0;1;1.3;mo;0;0;0;2090.39;ok;1;0;1;1.35;ok;1;0;1;2.52;mo;0;0;0;2025.9
full-int_check_bvsle_bvurem1_rtl.smt2;ok;1;0;1;1.0;ok;1;0;1;0.14;ok;1;0;1;0.88;ok;1;0;1;0.22;ok;1;0;1;1.05;ok;1;0;1;0.84
full-int_check_bvslt_bvadd_ltr.smt2;ok;1;0;1;9.15;ok;1;0;1;3.15;to;0;0;0;10800.14;ok;1;0;1;3.27;ok;1;0;1;9.45;to;0;0;0;10800.18
full-int_check_bvslt_bvadd_rtl.smt2;ok;1;0;1;6.01;ok;1;0;1;0.04;mo;0;0;0;748.09;ok;1;0;1;0.07;ok;1;0;1;5.99;mo;0;0;0;773.54
full-int_check_bvslt_bvand_ltr.smt2;to;0;0;0;10800.09;ok;0;0;0;0.6;to;0;0;0;10800.16;ok;0;0;0;0.59;to;0;0;0;10800.07;to;0;0;0;10800.18
full-int_check_bvslt_bvand_rtl.smt2;to;0;0;0;10800.04;ok;0;0;0;1.07;to;0;0;0;10800.12;ok;0;0;0;1.09;to;0;0;0;10800.08;to;0;0;0;10800.2
full-int_check_bvslt_bvashr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvslt_bvashr0_rtl.smt2;to;0;0;0;10800.09;ok;0;0;0;0.22;to;0;0;0;10800.01;ok;0;0;0;0.15;to;0;0;0;10800.09;to;0;0;0;10800.09
full-int_check_bvslt_bvashr1_ltr.smt2;to;0;0;0;10800.09;ok;0;0;0;0.97;mo;0;0;0;205.48;ok;0;0;0;0.89;to;0;0;0;10800.01;mo;0;0;0;202.9
full-int_check_bvslt_bvashr1_rtl.smt2;to;0;0;0;10800.01;ok;0;0;0;0.08;ok;1;0;1;14.2;ok;0;0;0;0.08;to;0;0;0;10800.03;ok;1;0;1;13.84
full-int_check_bvslt_bvlshr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvslt_bvlshr0_rtl.smt2;mo;0;0;0;3214.43;mo;0;0;0;2266.04;ok;1;0;1;8.09;mo;0;0;0;2278.1;mo;0;0;0;3264.81;ok;1;0;1;8.58
full-int_check_bvslt_bvlshr1_ltr.smt2;to;0;0;0;10800.07;ok;0;0;0;3.72;mo;0;0;0;3796.74;ok;0;0;0;3.74;to;0;0;0;10800.04;mo;0;0;0;3304.61
full-int_check_bvslt_bvlshr1_rtl.smt2;to;0;0;0;10800.06;ok;0;0;0;0.07;ok;1;0;1;3.42;ok;0;0;0;0.06;to;0;0;0;10800.09;ok;1;0;1;3.29
full-int_check_bvslt_bvmul_ltr.smt2;to;0;0;0;10800.03;mo;0;0;0;841.37;mo;0;0;0;3689.63;mo;0;0;0;845.29;to;0;0;0;10800.19;mo;0;0;0;3805.1
full-int_check_bvslt_bvmul_rtl.smt2;to;0;0;0;10800.05;ok;0;0;0;1.43;to;0;0;0;10800.13;ok;0;0;0;1.41;to;0;0;0;10800.01;to;0;0;0;10800.19
full-int_check_bvslt_bvneg_ltr.smt2;ok;1;0;1;1.2;ok;1;0;1;1.03;mo;0;0;0;1897.51;ok;1;0;1;1.03;ok;1;0;1;1.14;mo;0;0;0;1913.49
