,ic_name,direction,encoding,cond_inv,proved
470,bvsle_bvnot,ltr,qf,no_inv,no
471,bvsle_bvnot,rtl,full,NA,yes
472,bvsle_bvnot,rtl,partial,NA,yes
473,bvsle_bvnot,rtl,qf,NA,yes
474,bvsle_bvor,ltr,full,inv_a,no
475,bvsle_bvor,ltr,full,inv_g,no
476,bvsle_bvor,ltr,full,inv_r,no
477,bvsle_bvor,ltr,full,no_inv,no
478,bvsle_bvor,ltr,partial,inv_a,yes
479,bvsle_bvor,ltr,partial,inv_g,yes
480,bvsle_bvor,ltr,partial,inv_r,yes
481,bvsle_bvor,ltr,partial,no_inv,no
482,bvsle_bvor,ltr,qf,inv_a,no
483,bvsle_bvor,ltr,qf,inv_g,no
484,bvsle_bvor,ltr,qf,inv_r,no
485,bvsle_bvor,ltr,qf,no_inv,no
486,bvsle_bvor,rtl,full,NA,no
487,bvsle_bvor,rtl,partial,NA,no
488,bvsle_bvor,rtl,qf,NA,no
489,bvsle_bvshl0,ltr,full,inv_g,no
490,bvsle_bvshl0,ltr,full,no_inv,no
491,bvsle_bvshl0,ltr,partial,inv_g,no
492,bvsle_bvshl0,ltr,partial,no_inv,no
493,bvsle_bvshl0,ltr,qf,inv_g,no
494,bvsle_bvshl0,ltr,qf,no_inv,no
495,bvsle_bvshl0,rtl,full,NA,no
496,bvsle_bvshl0,rtl,partial,NA,yes
497,bvsle_bvshl0,rtl,qf,NA,no
498,bvsle_bvshl1,ltr,full,no_inv,no
499,bvsle_bvshl1,ltr,partial,no_inv,no
500,bvsle_bvshl1,ltr,qf,no_inv,no
501,bvsle_bvshl1,rtl,full,NA,yes
502,bvsle_bvshl1,rtl,partial,NA,yes
503,bvsle_bvshl1,rtl,qf,NA,yes
504,bvsle_bvudiv0,ltr,full,inv_a,yes
505,bvsle_bvudiv0,ltr,full,inv_g,yes
506,bvsle_bvudiv0,ltr,full,inv_r,yes
507,bvsle_bvudiv0,ltr,full,no_inv,no
508,bvsle_bvudiv0,ltr,partial,inv_a,yes
509,bvsle_bvudiv0,ltr,partial,inv_g,yes
510,bvsle_bvudiv0,ltr,partial,inv_r,yes
