config,ic_name,direction,proved
cvc4_tplanes,bvult_bvshl1,ltr,no
cvc4_tplanes,bvult_bvshl1,rtl,yes
cvc4_tplanes,bvult_bvudiv0,ltr,yes
cvc4_tplanes,bvult_bvudiv0,rtl,yes
cvc4_tplanes,bvult_bvudiv1,ltr,yes
cvc4_tplanes,bvult_bvudiv1,rtl,no
cvc4_tplanes,bvult_bvurem0,ltr,yes
cvc4_tplanes,bvult_bvurem0,rtl,yes
cvc4_tplanes,bvult_bvurem1,ltr,yes
cvc4_tplanes,bvult_bvurem1,rtl,yes
cvc4_tplanes,eq_bvadd,ltr,yes
cvc4_tplanes,eq_bvadd,rtl,yes
cvc4_tplanes,eq_bvand,ltr,yes
cvc4_tplanes,eq_bvand,rtl,no
cvc4_tplanes,eq_bvashr0,ltr,no
cvc4_tplanes,eq_bvashr0,rtl,no
cvc4_tplanes,eq_bvashr1,ltr,no
cvc4_tplanes,eq_bvashr1,rtl,no
cvc4_tplanes,eq_bvlshr0,ltr,yes
cvc4_tplanes,eq_bvlshr0,rtl,yes
cvc4_tplanes,eq_bvlshr1,ltr,no
cvc4_tplanes,eq_bvlshr1,rtl,yes
cvc4_tplanes,eq_bvmul,ltr,no
cvc4_tplanes,eq_bvmul,rtl,no
cvc4_tplanes,eq_bvneg,ltr,yes
cvc4_tplanes,eq_bvneg,rtl,yes
cvc4_tplanes,eq_bvnot,ltr,yes
cvc4_tplanes,eq_bvnot,rtl,yes
cvc4_tplanes,eq_bvor,ltr,yes
cvc4_tplanes,eq_bvor,rtl,no
cvc4_tplanes,eq_bvshl0,ltr,yes
cvc4_tplanes,eq_bvshl0,rtl,no
cvc4_tplanes,eq_bvshl1,ltr,no
cvc4_tplanes,eq_bvshl1,rtl,yes
cvc4_tplanes,eq_bvudiv0,ltr,yes
cvc4_tplanes,eq_bvudiv0,rtl,yes
cvc4_tplanes,eq_bvudiv1,ltr,no
cvc4_tplanes,eq_bvudiv1,rtl,no
cvc4_tplanes,eq_bvurem0,ltr,yes
cvc4_tplanes,eq_bvurem0,rtl,yes
cvc4_tplanes,eq_bvurem1,ltr,no
cvc4_tplanes,eq_bvurem1,rtl,no
cvc4_tplanes,ne_bvadd,ltr,yes
cvc4_tplanes,ne_bvadd,rtl,yes
cvc4_tplanes,ne_bvand,ltr,no
cvc4_tplanes,ne_bvand,rtl,yes
cvc4_tplanes,ne_bvashr0,ltr,yes
cvc4_tplanes,ne_bvashr0,rtl,yes
cvc4_tplanes,ne_bvashr1,ltr,no
cvc4_tplanes,ne_bvashr1,rtl,yes
cvc4_tplanes,ne_bvlshr0,ltr,yes
cvc4_tplanes,ne_bvlshr0,rtl,yes
cvc4_tplanes,ne_bvlshr1,ltr,no
cvc4_tplanes,ne_bvlshr1,rtl,yes
cvc4_tplanes,ne_bvmul,ltr,no
cvc4_tplanes,ne_bvmul,rtl,yes
cvc4_tplanes,ne_bvneg,ltr,yes
cvc4_tplanes,ne_bvneg,rtl,yes
cvc4_tplanes,ne_bvnot,ltr,yes
cvc4_tplanes,ne_bvnot,rtl,yes
cvc4_tplanes,ne_bvor,ltr,no
cvc4_tplanes,ne_bvor,rtl,yes
cvc4_tplanes,ne_bvshl0,ltr,no
cvc4_tplanes,ne_bvshl0,rtl,yes
cvc4_tplanes,ne_bvshl1,ltr,no
cvc4_tplanes,ne_bvshl1,rtl,yes
cvc4_tplanes,ne_bvudiv0,ltr,yes
cvc4_tplanes,ne_bvudiv0,rtl,yes
cvc4_tplanes,ne_bvudiv1,ltr,no
cvc4_tplanes,ne_bvudiv1,rtl,yes
cvc4_tplanes,ne_bvurem0,ltr,yes
cvc4_tplanes,ne_bvurem0,rtl,yes
cvc4_tplanes,ne_bvurem1,ltr,yes
cvc4_tplanes,ne_bvurem1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvadd,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvadd,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvand,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvand,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvashr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvashr0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvashr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvashr1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvlshr0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvlshr0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvlshr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvlshr1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvmul,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvmul,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvneg,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvneg,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvnot,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvnot,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvor,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvor,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvshl0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvshl0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvshl1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvshl1,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvudiv0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvudiv0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvudiv1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvudiv1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvurem0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvurem0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsge_bvurem1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsge_bvurem1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvadd,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvadd,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvand,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvand,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvashr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvashr0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvashr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvashr1,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvlshr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvlshr0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvlshr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvlshr1,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvmul,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvmul,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvneg,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvneg,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvnot,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvnot,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvor,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvor,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvshl0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvshl0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvshl1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvshl1,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvudiv0,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvudiv0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvudiv1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvudiv1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvurem0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvurem0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvurem1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsgt_bvurem1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvadd,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvadd,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvand,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvand,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvashr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvashr0,rtl,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvashr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvashr1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvlshr0,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvlshr0,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvlshr1,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvlshr1,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvmul,ltr,no
cvc4_tplanes_saturate_no_e_matching,bvsle_bvmul,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvneg,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvneg,rtl,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvnot,ltr,yes
cvc4_tplanes_saturate_no_e_matching,bvsle_bvnot,rtl,yes
