,ic_name,direction,encoding,proved,to_keep
564,bvuge_bvmul,rtl,combined,no,True
565,bvuge_bvmul,rtl,full,no,False
566,bvuge_bvmul,rtl,partial,no,False
567,bvuge_bvmul,rtl,qf,no,True
568,bvuge_bvneg,ltr,combined,yes,True
569,bvuge_bvneg,ltr,full,yes,False
570,bvuge_bvneg,ltr,partial,yes,False
571,bvuge_bvneg,ltr,qf,yes,True
572,bvuge_bvneg,rtl,combined,yes,True
573,bvuge_bvneg,rtl,full,yes,False
574,bvuge_bvneg,rtl,partial,yes,False
575,bvuge_bvneg,rtl,qf,yes,True
