,ic_name,direction,encoding,cond_inv,seconds
291,bvslt_bvnot,ltr,combined,inv_a,0
292,bvslt_bvnot,ltr,combined,inv_g,1
293,bvslt_bvnot,ltr,combined,inv_r,0
294,bvslt_bvnot,ltr,full,inv_a,0
295,bvslt_bvnot,ltr,full,inv_g,0
296,bvslt_bvnot,ltr,full,inv_r,0
297,bvslt_bvnot,rtl,combined,NA,0
298,bvslt_bvnot,rtl,full,NA,0
299,bvslt_bvor,ltr,combined,no_inv,0
300,bvslt_bvor,ltr,full,no_inv,0
301,bvslt_bvor,ltr,partial,no_inv,0
302,bvslt_bvor,ltr,qf,no_inv,0
303,bvslt_bvshl0,ltr,combined,inv_g,0
304,bvslt_bvshl0,ltr,full,inv_g,0
305,bvslt_bvshl0,ltr,partial,inv_g,0
306,bvslt_bvshl0,ltr,qf,inv_g,0
307,bvslt_bvshl1,rtl,full,NA,0
308,bvslt_bvudiv0,ltr,combined,inv_a,41
309,bvslt_bvudiv0,ltr,combined,inv_g,39
310,bvslt_bvudiv0,ltr,combined,inv_r,41
311,bvslt_bvudiv0,ltr,combined,no_inv,277
312,bvslt_bvudiv0,ltr,full,inv_a,0
313,bvslt_bvudiv0,ltr,full,inv_g,0
314,bvslt_bvudiv0,ltr,full,inv_r,0
315,bvslt_bvudiv0,rtl,combined,NA,0
316,bvslt_bvudiv0,rtl,full,NA,0
317,bvslt_bvudiv1,ltr,combined,no_inv,0
318,bvslt_bvudiv1,ltr,full,no_inv,0
319,bvslt_bvudiv1,rtl,combined,NA,0
320,bvslt_bvudiv1,rtl,full,NA,0
321,bvslt_bvurem1,ltr,combined,inv_a,17
322,bvslt_bvurem1,ltr,combined,inv_g,17
323,bvslt_bvurem1,ltr,combined,inv_r,16
324,bvslt_bvurem1,ltr,combined,no_inv,0
325,bvslt_bvurem1,ltr,full,inv_a,0
326,bvslt_bvurem1,ltr,full,inv_g,0
327,bvslt_bvurem1,ltr,full,inv_r,0
328,bvslt_bvurem1,ltr,full,no_inv,0
329,bvslt_bvurem1,ltr,partial,no_inv,0
330,bvslt_bvurem1,ltr,qf,no_inv,0
331,bvslt_bvurem1,rtl,combined,NA,0
332,bvslt_bvurem1,rtl,full,NA,0
333,bvuge_bvadd,ltr,combined,inv_a,0
334,bvuge_bvadd,ltr,combined,inv_g,0
335,bvuge_bvadd,ltr,combined,inv_r,0
336,bvuge_bvadd,ltr,full,inv_a,0
337,bvuge_bvadd,ltr,full,inv_g,0
338,bvuge_bvadd,ltr,full,inv_r,0
339,bvuge_bvadd,ltr,partial,inv_a,0
340,bvuge_bvadd,ltr,partial,inv_g,0
341,bvuge_bvadd,ltr,partial,inv_r,0
342,bvuge_bvadd,ltr,qf,inv_a,0
343,bvuge_bvadd,ltr,qf,inv_g,0
344,bvuge_bvadd,ltr,qf,inv_r,0
345,bvuge_bvadd,ltr,qf,no_inv,0
346,bvuge_bvadd,rtl,combined,NA,0
347,bvuge_bvadd,rtl,full,NA,0
348,bvuge_bvadd,rtl,partial,NA,0
349,bvuge_bvadd,rtl,qf,NA,0
350,bvuge_bvand,ltr,combined,inv_a,0
351,bvuge_bvand,ltr,combined,inv_g,0
352,bvuge_bvand,ltr,combined,inv_r,0
353,bvuge_bvand,ltr,combined,no_inv,0
354,bvuge_bvand,ltr,partial,inv_a,0
355,bvuge_bvand,ltr,partial,inv_g,0
356,bvuge_bvand,ltr,partial,inv_r,0
357,bvuge_bvand,ltr,partial,no_inv,0
358,bvuge_bvand,rtl,combined,NA,0
359,bvuge_bvand,rtl,partial,NA,0
360,bvuge_bvashr0,ltr,combined,inv_a,40
361,bvuge_bvashr0,ltr,combined,inv_g,41
362,bvuge_bvashr0,ltr,combined,inv_r,41
363,bvuge_bvashr0,rtl,combined,NA,0
364,bvuge_bvashr0,rtl,full,NA,0
365,bvuge_bvashr0,rtl,partial,NA,0
366,bvuge_bvashr0,rtl,qf,NA,0
367,bvuge_bvashr1,rtl,combined,NA,0
368,bvuge_bvlshr0,ltr,combined,no_inv,0
369,bvuge_bvlshr0,ltr,full,no_inv,0
370,bvuge_bvlshr0,ltr,partial,no_inv,0
371,bvuge_bvlshr0,ltr,qf,no_inv,0
372,bvuge_bvlshr0,rtl,combined,NA,0
373,bvuge_bvlshr0,rtl,partial,NA,1
374,bvuge_bvlshr1,ltr,combined,inv_a,0
375,bvuge_bvlshr1,ltr,combined,inv_g,0
376,bvuge_bvlshr1,ltr,combined,inv_r,0
377,bvuge_bvlshr1,ltr,combined,no_inv,0
378,bvuge_bvlshr1,ltr,full,inv_a,0
379,bvuge_bvlshr1,ltr,full,inv_g,0
380,bvuge_bvlshr1,ltr,full,inv_r,0
381,bvuge_bvlshr1,ltr,full,no_inv,0
382,bvuge_bvlshr1,ltr,partial,inv_a,0
383,bvuge_bvlshr1,ltr,partial,inv_g,0
384,bvuge_bvlshr1,ltr,partial,inv_r,0
385,bvuge_bvlshr1,ltr,partial,no_inv,0
386,bvuge_bvlshr1,ltr,qf,inv_a,0
387,bvuge_bvlshr1,ltr,qf,inv_g,0
388,bvuge_bvlshr1,ltr,qf,inv_r,0
389,bvuge_bvlshr1,ltr,qf,no_inv,0
390,bvuge_bvlshr1,rtl,combined,NA,0
391,bvuge_bvlshr1,rtl,partial,NA,0
392,bvuge_bvneg,ltr,combined,inv_a,0
393,bvuge_bvneg,ltr,combined,inv_g,0
394,bvuge_bvneg,ltr,combined,inv_r,0
395,bvuge_bvneg,ltr,full,inv_a,0
396,bvuge_bvneg,ltr,full,inv_g,0
397,bvuge_bvneg,ltr,full,inv_r,0
398,bvuge_bvneg,ltr,full,no_inv,51
399,bvuge_bvneg,ltr,partial,inv_a,0
400,bvuge_bvneg,ltr,partial,inv_g,0
401,bvuge_bvneg,ltr,partial,inv_r,0
402,bvuge_bvneg,ltr,qf,inv_a,0
403,bvuge_bvneg,ltr,qf,inv_g,0
404,bvuge_bvneg,ltr,qf,inv_r,0
405,bvuge_bvneg,ltr,qf,no_inv,0
406,bvuge_bvneg,rtl,combined,NA,0
407,bvuge_bvneg,rtl,full,NA,0
408,bvuge_bvneg,rtl,partial,NA,0
409,bvuge_bvneg,rtl,qf,NA,0
410,bvuge_bvnot,ltr,combined,inv_a,0
411,bvuge_bvnot,ltr,combined,inv_g,0
412,bvuge_bvnot,ltr,combined,inv_r,0
413,bvuge_bvnot,ltr,combined,no_inv,0
414,bvuge_bvnot,ltr,full,inv_a,0
415,bvuge_bvnot,ltr,full,inv_g,0
416,bvuge_bvnot,ltr,full,inv_r,0
417,bvuge_bvnot,ltr,full,no_inv,0
418,bvuge_bvnot,ltr,partial,inv_a,0
419,bvuge_bvnot,ltr,partial,inv_g,0
420,bvuge_bvnot,ltr,partial,inv_r,0
421,bvuge_bvnot,ltr,partial,no_inv,0
422,bvuge_bvnot,ltr,qf,inv_a,0
423,bvuge_bvnot,ltr,qf,inv_g,0
424,bvuge_bvnot,ltr,qf,inv_r,0
425,bvuge_bvnot,ltr,qf,no_inv,0
426,bvuge_bvnot,rtl,combined,NA,0
427,bvuge_bvnot,rtl,full,NA,0
428,bvuge_bvnot,rtl,partial,NA,0
429,bvuge_bvnot,rtl,qf,NA,0
430,bvuge_bvor,ltr,combined,inv_a,0
431,bvuge_bvor,ltr,combined,inv_g,0
432,bvuge_bvor,ltr,combined,inv_r,0
433,bvuge_bvor,ltr,combined,no_inv,0
434,bvuge_bvor,ltr,partial,inv_a,0
435,bvuge_bvor,ltr,partial,inv_g,0
436,bvuge_bvor,ltr,partial,inv_r,0
437,bvuge_bvor,ltr,partial,no_inv,0
438,bvuge_bvor,rtl,combined,NA,0
439,bvuge_bvor,rtl,full,NA,0
440,bvuge_bvor,rtl,partial,NA,0
441,bvuge_bvor,rtl,qf,NA,0
442,bvuge_bvshl0,ltr,combined,inv_a,0
443,bvuge_bvshl0,ltr,combined,inv_g,0
444,bvuge_bvshl0,ltr,combined,inv_r,0
445,bvuge_bvshl0,ltr,full,inv_a,0
446,bvuge_bvshl0,ltr,full,inv_g,0
447,bvuge_bvshl0,ltr,full,inv_r,0
448,bvuge_bvshl0,ltr,full,no_inv,2
449,bvuge_bvshl0,ltr,partial,inv_a,0
450,bvuge_bvshl0,ltr,partial,inv_g,0
451,bvuge_bvshl0,ltr,partial,inv_r,0
452,bvuge_bvshl0,ltr,qf,inv_a,0
453,bvuge_bvshl0,ltr,qf,inv_g,0
454,bvuge_bvshl0,ltr,qf,inv_r,0
455,bvuge_bvshl0,ltr,qf,no_inv,0
456,bvuge_bvshl1,rtl,combined,NA,0
457,bvuge_bvshl1,rtl,partial,NA,0
458,bvuge_bvudiv0,rtl,combined,NA,15
459,bvuge_bvudiv1,ltr,combined,inv_a,0
460,bvuge_bvudiv1,ltr,combined,inv_g,0
461,bvuge_bvudiv1,ltr,combined,inv_r,0
462,bvuge_bvudiv1,ltr,combined,no_inv,0
463,bvuge_bvudiv1,ltr,full,inv_a,0
464,bvuge_bvudiv1,ltr,full,inv_g,0
465,bvuge_bvudiv1,ltr,full,inv_r,0
466,bvuge_bvudiv1,ltr,full,no_inv,0
467,bvuge_bvudiv1,ltr,partial,inv_a,0
468,bvuge_bvudiv1,ltr,partial,inv_g,0
469,bvuge_bvudiv1,ltr,partial,inv_r,0
470,bvuge_bvudiv1,ltr,partial,no_inv,0
471,bvuge_bvudiv1,ltr,qf,inv_a,0
472,bvuge_bvudiv1,ltr,qf,inv_g,0
473,bvuge_bvudiv1,ltr,qf,inv_r,0
474,bvuge_bvudiv1,ltr,qf,no_inv,0
