encoding,config,ic_name,direction,proved
ahmed,z3,bvsge_bvnot,ltr,yes
ahmed,z3,bvsge_bvnot,rtl,yes
ahmed,z3,bvsge_bvor,ltr,no
ahmed,z3,bvsge_bvor,rtl,no
ahmed,z3,bvsge_bvshl0,ltr,no
ahmed,z3,bvsge_bvshl0,rtl,no
ahmed,z3,bvsge_bvshl1,ltr,yes
ahmed,z3,bvsge_bvshl1,rtl,yes
ahmed,z3,bvsge_bvudiv0,ltr,no
ahmed,z3,bvsge_bvudiv0,rtl,no
ahmed,z3,bvsge_bvudiv1,ltr,no
ahmed,z3,bvsge_bvudiv1,rtl,no
ahmed,z3,bvsge_bvurem0,ltr,no
ahmed,z3,bvsge_bvurem0,rtl,no
ahmed,z3,bvsge_bvurem1,ltr,no
ahmed,z3,bvsge_bvurem1,rtl,no
ahmed,z3,bvsgt_bvadd,ltr,no
ahmed,z3,bvsgt_bvadd,rtl,no
ahmed,z3,bvsgt_bvand,ltr,no
ahmed,z3,bvsgt_bvand,rtl,no
ahmed,z3,bvsgt_bvashr0,ltr,yes
ahmed,z3,bvsgt_bvashr0,rtl,no
ahmed,z3,bvsgt_bvashr1,ltr,no
ahmed,z3,bvsgt_bvashr1,rtl,no
ahmed,z3,bvsgt_bvlshr0,ltr,yes
ahmed,z3,bvsgt_bvlshr0,rtl,no
ahmed,z3,bvsgt_bvlshr1,ltr,no
ahmed,z3,bvsgt_bvlshr1,rtl,no
ahmed,z3,bvsgt_bvmul,ltr,no
ahmed,z3,bvsgt_bvmul,rtl,no
ahmed,z3,bvsgt_bvneg,ltr,no
ahmed,z3,bvsgt_bvneg,rtl,no
ahmed,z3,bvsgt_bvnot,ltr,yes
ahmed,z3,bvsgt_bvnot,rtl,no
ahmed,z3,bvsgt_bvor,ltr,no
ahmed,z3,bvsgt_bvor,rtl,yes
ahmed,z3,bvsgt_bvshl0,ltr,no
ahmed,z3,bvsgt_bvshl0,rtl,no
ahmed,z3,bvsgt_bvshl1,ltr,yes
ahmed,z3,bvsgt_bvshl1,rtl,yes
ahmed,z3,bvsgt_bvudiv0,ltr,yes
ahmed,z3,bvsgt_bvudiv0,rtl,no
ahmed,z3,bvsgt_bvudiv1,ltr,no
ahmed,z3,bvsgt_bvudiv1,rtl,no
ahmed,z3,bvsgt_bvurem0,ltr,no
ahmed,z3,bvsgt_bvurem0,rtl,no
ahmed,z3,bvsgt_bvurem1,ltr,no
ahmed,z3,bvsgt_bvurem1,rtl,no
ahmed,z3,bvsle_bvadd,ltr,no
ahmed,z3,bvsle_bvadd,rtl,yes
ahmed,z3,bvsle_bvand,ltr,no
ahmed,z3,bvsle_bvand,rtl,no
ahmed,z3,bvsle_bvashr0,ltr,yes
ahmed,z3,bvsle_bvashr0,rtl,no
ahmed,z3,bvsle_bvashr1,ltr,no
ahmed,z3,bvsle_bvashr1,rtl,no
ahmed,z3,bvsle_bvlshr0,ltr,yes
ahmed,z3,bvsle_bvlshr0,rtl,no
ahmed,z3,bvsle_bvlshr1,ltr,no
ahmed,z3,bvsle_bvlshr1,rtl,no
ahmed,z3,bvsle_bvmul,ltr,no
ahmed,z3,bvsle_bvmul,rtl,yes
ahmed,z3,bvsle_bvneg,ltr,no
ahmed,z3,bvsle_bvneg,rtl,yes
ahmed,z3,bvsle_bvnot,ltr,yes
ahmed,z3,bvsle_bvnot,rtl,yes
ahmed,z3,bvsle_bvor,ltr,no
ahmed,z3,bvsle_bvor,rtl,no
ahmed,z3,bvsle_bvshl0,ltr,no
ahmed,z3,bvsle_bvshl0,rtl,no
ahmed,z3,bvsle_bvshl1,ltr,no
ahmed,z3,bvsle_bvshl1,rtl,no
ahmed,z3,bvsle_bvudiv0,ltr,yes
ahmed,z3,bvsle_bvudiv0,rtl,no
ahmed,z3,bvsle_bvudiv1,ltr,no
ahmed,z3,bvsle_bvudiv1,rtl,no
ahmed,z3,bvsle_bvurem0,ltr,no
ahmed,z3,bvsle_bvurem0,rtl,no
ahmed,z3,bvsle_bvurem1,ltr,no
ahmed,z3,bvsle_bvurem1,rtl,no
ahmed,z3,bvslt_bvadd,ltr,no
ahmed,z3,bvslt_bvadd,rtl,no
ahmed,z3,bvslt_bvand,ltr,yes
ahmed,z3,bvslt_bvand,rtl,no
ahmed,z3,bvslt_bvashr0,ltr,yes
ahmed,z3,bvslt_bvashr0,rtl,no
ahmed,z3,bvslt_bvashr1,ltr,no
ahmed,z3,bvslt_bvashr1,rtl,no
ahmed,z3,bvslt_bvlshr0,ltr,yes
ahmed,z3,bvslt_bvlshr0,rtl,no
ahmed,z3,bvslt_bvlshr1,ltr,no
ahmed,z3,bvslt_bvlshr1,rtl,no
ahmed,z3,bvslt_bvmul,ltr,no
ahmed,z3,bvslt_bvmul,rtl,no
ahmed,z3,bvslt_bvneg,ltr,no
ahmed,z3,bvslt_bvneg,rtl,no
ahmed,z3,bvslt_bvnot,ltr,yes
ahmed,z3,bvslt_bvnot,rtl,no
ahmed,z3,bvslt_bvor,ltr,yes
ahmed,z3,bvslt_bvor,rtl,no
ahmed,z3,bvslt_bvshl0,ltr,yes
ahmed,z3,bvslt_bvshl0,rtl,no
ahmed,z3,bvslt_bvshl1,ltr,no
ahmed,z3,bvslt_bvshl1,rtl,no
ahmed,z3,bvslt_bvudiv0,ltr,yes
ahmed,z3,bvslt_bvudiv0,rtl,no
ahmed,z3,bvslt_bvudiv1,ltr,yes
ahmed,z3,bvslt_bvudiv1,rtl,no
ahmed,z3,bvslt_bvurem0,ltr,no
ahmed,z3,bvslt_bvurem0,rtl,no
ahmed,z3,bvslt_bvurem1,ltr,no
ahmed,z3,bvslt_bvurem1,rtl,no
ahmed,z3,bvuge_bvadd,ltr,yes
ahmed,z3,bvuge_bvadd,rtl,yes
ahmed,z3,bvuge_bvand,ltr,yes
ahmed,z3,bvuge_bvand,rtl,yes
ahmed,z3,bvuge_bvashr0,ltr,no
ahmed,z3,bvuge_bvashr0,rtl,yes
ahmed,z3,bvuge_bvashr1,ltr,no
ahmed,z3,bvuge_bvashr1,rtl,no
ahmed,z3,bvuge_bvlshr0,ltr,yes
ahmed,z3,bvuge_bvlshr0,rtl,no
ahmed,z3,bvuge_bvlshr1,ltr,no
ahmed,z3,bvuge_bvlshr1,rtl,no
ahmed,z3,bvuge_bvmul,ltr,no
ahmed,z3,bvuge_bvmul,rtl,no
ahmed,z3,bvuge_bvneg,ltr,no
ahmed,z3,bvuge_bvneg,rtl,yes
ahmed,z3,bvuge_bvnot,ltr,yes
ahmed,z3,bvuge_bvnot,rtl,yes
ahmed,z3,bvuge_bvor,ltr,yes
ahmed,z3,bvuge_bvor,rtl,yes
ahmed,z3,bvuge_bvshl0,ltr,yes
ahmed,z3,bvuge_bvshl0,rtl,no
ahmed,z3,bvuge_bvshl1,ltr,yes
ahmed,z3,bvuge_bvshl1,rtl,yes
ahmed,z3,bvuge_bvudiv0,ltr,no
ahmed,z3,bvuge_bvudiv0,rtl,no
ahmed,z3,bvuge_bvudiv1,ltr,yes
ahmed,z3,bvuge_bvudiv1,rtl,yes
ahmed,z3,bvuge_bvurem0,ltr,no
ahmed,z3,bvuge_bvurem0,rtl,no
ahmed,z3,bvuge_bvurem1,ltr,no
ahmed,z3,bvuge_bvurem1,rtl,no
ahmed,z3,bvugt_bvadd,ltr,yes
ahmed,z3,bvugt_bvadd,rtl,yes
ahmed,z3,bvugt_bvand,ltr,yes
ahmed,z3,bvugt_bvand,rtl,yes
ahmed,z3,bvugt_bvashr0,ltr,no
ahmed,z3,bvugt_bvashr0,rtl,yes
ahmed,z3,bvugt_bvashr1,ltr,no
ahmed,z3,bvugt_bvashr1,rtl,no
ahmed,z3,bvugt_bvlshr0,ltr,yes
ahmed,z3,bvugt_bvlshr0,rtl,no
ahmed,z3,bvugt_bvlshr1,ltr,no
ahmed,z3,bvugt_bvlshr1,rtl,no
ahmed,z3,bvugt_bvmul,ltr,no
ahmed,z3,bvugt_bvmul,rtl,no
ahmed,z3,bvugt_bvneg,ltr,no
ahmed,z3,bvugt_bvneg,rtl,yes
