encoding,ic_name,direction,proved
partial,bvsgt_bvneg,rtl,yes
partial,bvsgt_bvnot,ltr,yes
partial,bvsgt_bvnot,rtl,yes
partial,bvsgt_bvor,ltr,yes
partial,bvsgt_bvor,rtl,no
partial,bvsgt_bvshl0,ltr,no
partial,bvsgt_bvshl0,rtl,no
partial,bvsgt_bvshl1,ltr,no
partial,bvsgt_bvshl1,rtl,yes
partial,bvsgt_bvudiv0,ltr,no
partial,bvsgt_bvudiv0,rtl,yes
partial,bvsgt_bvudiv1,ltr,no
partial,bvsgt_bvudiv1,rtl,yes
partial,bvsgt_bvurem0,ltr,yes
partial,bvsgt_bvurem0,rtl,yes
partial,bvsgt_bvurem1,ltr,no
partial,bvsgt_bvurem1,rtl,yes
partial,bvsle_bvadd,ltr,yes
partial,bvsle_bvadd,rtl,yes
partial,bvsle_bvand,ltr,no
partial,bvsle_bvand,rtl,no
partial,bvsle_bvashr0,ltr,yes
partial,bvsle_bvashr0,rtl,no
partial,bvsle_bvashr1,ltr,no
partial,bvsle_bvashr1,rtl,yes
partial,bvsle_bvlshr0,ltr,yes
partial,bvsle_bvlshr0,rtl,yes
partial,bvsle_bvlshr1,ltr,no
partial,bvsle_bvlshr1,rtl,yes
partial,bvsle_bvmul,ltr,no
partial,bvsle_bvmul,rtl,yes
partial,bvsle_bvneg,ltr,yes
partial,bvsle_bvneg,rtl,yes
partial,bvsle_bvnot,ltr,yes
partial,bvsle_bvnot,rtl,yes
partial,bvsle_bvor,ltr,yes
partial,bvsle_bvor,rtl,no
partial,bvsle_bvshl0,ltr,no
partial,bvsle_bvshl0,rtl,yes
partial,bvsle_bvshl1,ltr,no
partial,bvsle_bvshl1,rtl,yes
partial,bvsle_bvudiv0,ltr,yes
partial,bvsle_bvudiv0,rtl,yes
partial,bvsle_bvudiv1,ltr,yes
partial,bvsle_bvudiv1,rtl,yes
partial,bvsle_bvurem0,ltr,no
partial,bvsle_bvurem0,rtl,no
partial,bvsle_bvurem1,ltr,yes
partial,bvsle_bvurem1,rtl,yes
partial,bvslt_bvadd,ltr,yes
partial,bvslt_bvadd,rtl,yes
partial,bvslt_bvand,ltr,no
partial,bvslt_bvand,rtl,no
partial,bvslt_bvashr0,ltr,yes
partial,bvslt_bvashr0,rtl,no
partial,bvslt_bvashr1,ltr,no
partial,bvslt_bvashr1,rtl,yes
partial,bvslt_bvlshr0,ltr,yes
partial,bvslt_bvlshr0,rtl,yes
partial,bvslt_bvlshr1,ltr,no
partial,bvslt_bvlshr1,rtl,yes
partial,bvslt_bvmul,ltr,no
partial,bvslt_bvmul,rtl,no
partial,bvslt_bvneg,ltr,yes
partial,bvslt_bvneg,rtl,yes
partial,bvslt_bvnot,ltr,yes
partial,bvslt_bvnot,rtl,yes
partial,bvslt_bvor,ltr,no
partial,bvslt_bvor,rtl,no
partial,bvslt_bvshl0,ltr,yes
partial,bvslt_bvshl0,rtl,no
partial,bvslt_bvshl1,ltr,no
partial,bvslt_bvshl1,rtl,no
partial,bvslt_bvudiv0,ltr,yes
partial,bvslt_bvudiv0,rtl,yes
partial,bvslt_bvudiv1,ltr,yes
partial,bvslt_bvudiv1,rtl,yes
partial,bvslt_bvurem0,ltr,no
partial,bvslt_bvurem0,rtl,no
partial,bvslt_bvurem1,ltr,yes
partial,bvslt_bvurem1,rtl,yes
partial,bvuge_bvadd,ltr,yes
partial,bvuge_bvadd,rtl,yes
partial,bvuge_bvand,ltr,no
