,encoding,config,ic_name,direction,cond_inv,proved
296,ahmed,cvc4,bvule_bvashr0,rtl,NA,yes
297,ahmed,cvc4,bvule_bvashr1,ltr,inv_d2,no
298,ahmed,cvc4,bvule_bvashr1,ltr,inv_g,no
299,ahmed,cvc4,bvule_bvashr1,ltr,no_inv,no
300,ahmed,cvc4,bvule_bvashr1,rtl,NA,yes
301,ahmed,cvc4,bvule_bvlshr0,ltr,inv_g,yes
302,ahmed,cvc4,bvule_bvlshr0,ltr,no_inv,no
303,ahmed,cvc4,bvule_bvlshr0,rtl,NA,yes
304,ahmed,cvc4,bvule_bvlshr1,ltr,inv_g,yes
305,ahmed,cvc4,bvule_bvlshr1,ltr,no_inv,yes
306,ahmed,cvc4,bvule_bvlshr1,rtl,NA,yes
307,ahmed,cvc4,bvule_bvmul,ltr,inv_g,yes
308,ahmed,cvc4,bvule_bvmul,ltr,no_inv,no
309,ahmed,cvc4,bvule_bvmul,rtl,NA,yes
310,ahmed,cvc4,bvule_bvneg,ltr,inv_g,yes
311,ahmed,cvc4,bvule_bvneg,ltr,no_inv,no
312,ahmed,cvc4,bvule_bvneg,rtl,NA,yes
313,ahmed,cvc4,bvule_bvnot,ltr,inv_g,yes
314,ahmed,cvc4,bvule_bvnot,ltr,no_inv,yes
315,ahmed,cvc4,bvule_bvnot,rtl,NA,yes
316,ahmed,cvc4,bvule_bvor,ltr,inv_g,yes
317,ahmed,cvc4,bvule_bvor,ltr,no_inv,yes
318,ahmed,cvc4,bvule_bvor,rtl,NA,yes
319,ahmed,cvc4,bvule_bvshl0,ltr,inv_g,yes
320,ahmed,cvc4,bvule_bvshl0,ltr,no_inv,no
321,ahmed,cvc4,bvule_bvshl0,rtl,NA,yes
322,ahmed,cvc4,bvule_bvshl1,ltr,no_inv,yes
323,ahmed,cvc4,bvule_bvshl1,rtl,NA,yes
324,ahmed,cvc4,bvule_bvudiv0,ltr,inv_g,yes
325,ahmed,cvc4,bvule_bvudiv0,ltr,no_inv,no
326,ahmed,cvc4,bvule_bvudiv0,rtl,NA,yes
327,ahmed,cvc4,bvule_bvudiv1,ltr,inv_d2,yes
328,ahmed,cvc4,bvule_bvudiv1,ltr,inv_g,yes
329,ahmed,cvc4,bvule_bvudiv1,ltr,no_inv,no
330,ahmed,cvc4,bvule_bvudiv1,rtl,NA,no
331,ahmed,cvc4,bvule_bvurem0,ltr,inv_g,yes
332,ahmed,cvc4,bvule_bvurem0,ltr,no_inv,no
333,ahmed,cvc4,bvule_bvurem0,rtl,NA,yes
334,ahmed,cvc4,bvule_bvurem1,ltr,inv_g,yes
335,ahmed,cvc4,bvule_bvurem1,ltr,no_inv,no
336,ahmed,cvc4,bvule_bvurem1,rtl,NA,yes
337,ahmed,cvc4,bvult_bvadd,ltr,inv_d2,yes
338,ahmed,cvc4,bvult_bvadd,ltr,inv_g,yes
339,ahmed,cvc4,bvult_bvadd,ltr,no_inv,no
340,ahmed,cvc4,bvult_bvadd,rtl,NA,yes
341,ahmed,cvc4,bvult_bvand,ltr,inv_g,yes
342,ahmed,cvc4,bvult_bvand,ltr,no_inv,yes
343,ahmed,cvc4,bvult_bvand,rtl,NA,yes
344,ahmed,cvc4,bvult_bvashr0,ltr,inv_g,yes
345,ahmed,cvc4,bvult_bvashr0,ltr,no_inv,no
346,ahmed,cvc4,bvult_bvashr0,rtl,NA,yes
347,ahmed,cvc4,bvult_bvashr1,ltr,inv_d2,yes
348,ahmed,cvc4,bvult_bvashr1,ltr,inv_g,yes
349,ahmed,cvc4,bvult_bvashr1,ltr,no_inv,no
350,ahmed,cvc4,bvult_bvashr1,rtl,NA,yes
351,ahmed,cvc4,bvult_bvlshr0,ltr,inv_g,no
352,ahmed,cvc4,bvult_bvlshr0,ltr,no_inv,no
353,ahmed,cvc4,bvult_bvlshr0,rtl,NA,yes
354,ahmed,cvc4,bvult_bvlshr1,ltr,inv_g,no
355,ahmed,cvc4,bvult_bvlshr1,ltr,no_inv,yes
356,ahmed,cvc4,bvult_bvlshr1,rtl,NA,yes
357,ahmed,cvc4,bvult_bvmul,ltr,inv_g,yes
358,ahmed,cvc4,bvult_bvmul,ltr,no_inv,no
359,ahmed,cvc4,bvult_bvmul,rtl,NA,yes
360,ahmed,cvc4,bvult_bvneg,ltr,inv_g,yes
361,ahmed,cvc4,bvult_bvneg,ltr,no_inv,no
362,ahmed,cvc4,bvult_bvneg,rtl,NA,yes
363,ahmed,cvc4,bvult_bvnot,ltr,inv_g,yes
364,ahmed,cvc4,bvult_bvnot,ltr,no_inv,yes
365,ahmed,cvc4,bvult_bvnot,rtl,NA,yes
366,ahmed,cvc4,bvult_bvor,ltr,inv_g,yes
367,ahmed,cvc4,bvult_bvor,ltr,no_inv,yes
368,ahmed,cvc4,bvult_bvor,rtl,NA,yes
369,ahmed,cvc4,bvult_bvshl0,ltr,inv_g,yes
370,ahmed,cvc4,bvult_bvshl0,ltr,no_inv,no
371,ahmed,cvc4,bvult_bvshl0,rtl,NA,yes
372,ahmed,cvc4,bvult_bvshl1,ltr,no_inv,yes
373,ahmed,cvc4,bvult_bvshl1,rtl,NA,yes
374,ahmed,cvc4,bvult_bvudiv0,ltr,inv_g,no
375,ahmed,cvc4,bvult_bvudiv0,ltr,no_inv,no
376,ahmed,cvc4,bvult_bvudiv0,rtl,NA,yes
377,ahmed,cvc4,bvult_bvudiv1,ltr,inv_d2,no
378,ahmed,cvc4,bvult_bvudiv1,ltr,inv_g,no
379,ahmed,cvc4,bvult_bvudiv1,ltr,no_inv,no
380,ahmed,cvc4,bvult_bvudiv1,rtl,NA,no
381,ahmed,cvc4,bvult_bvurem0,ltr,inv_g,yes
382,ahmed,cvc4,bvult_bvurem0,ltr,no_inv,no
383,ahmed,cvc4,bvult_bvurem0,rtl,NA,yes
384,ahmed,cvc4,bvult_bvurem1,ltr,inv_g,yes
385,ahmed,cvc4,bvult_bvurem1,ltr,no_inv,no
386,ahmed,cvc4,bvult_bvurem1,rtl,NA,yes
387,ahmed,cvc4,eq_bvadd,ltr,inv_g,no
388,ahmed,cvc4,eq_bvadd,ltr,no_inv,no
389,ahmed,cvc4,eq_bvadd,rtl,NA,yes
390,ahmed,cvc4,eq_bvand,ltr,inv_g,yes
391,ahmed,cvc4,eq_bvand,ltr,no_inv,yes
392,ahmed,cvc4,eq_bvand,rtl,NA,no
393,ahmed,cvc4,eq_bvashr0,ltr,no_inv,no
394,ahmed,cvc4,eq_bvashr0,rtl,NA,no
395,ahmed,cvc4,eq_bvashr1,ltr,no_inv,no
396,ahmed,cvc4,eq_bvashr1,rtl,NA,no
397,ahmed,cvc4,eq_bvlshr0,ltr,inv_g,yes
398,ahmed,cvc4,eq_bvlshr0,ltr,no_inv,no
399,ahmed,cvc4,eq_bvlshr0,rtl,NA,yes
400,ahmed,cvc4,eq_bvlshr1,ltr,no_inv,yes
401,ahmed,cvc4,eq_bvlshr1,rtl,NA,yes
402,ahmed,cvc4,eq_bvmul,ltr,no_inv,no
403,ahmed,cvc4,eq_bvmul,rtl,NA,no
404,ahmed,cvc4,eq_bvneg,ltr,inv_g,yes
405,ahmed,cvc4,eq_bvneg,ltr,no_inv,no
406,ahmed,cvc4,eq_bvneg,rtl,NA,yes
407,ahmed,cvc4,eq_bvnot,ltr,inv_g,yes
408,ahmed,cvc4,eq_bvnot,ltr,no_inv,yes
409,ahmed,cvc4,eq_bvnot,rtl,NA,yes
410,ahmed,cvc4,eq_bvor,ltr,inv_g,yes
411,ahmed,cvc4,eq_bvor,ltr,no_inv,yes
412,ahmed,cvc4,eq_bvor,rtl,NA,no
413,ahmed,cvc4,eq_bvshl0,ltr,inv_g,yes
414,ahmed,cvc4,eq_bvshl0,ltr,no_inv,no
415,ahmed,cvc4,eq_bvshl0,rtl,NA,no
416,ahmed,cvc4,eq_bvshl1,ltr,no_inv,no
