,ic_name,direction,encoding,cond_inv,proved,direction_cond,ic
1192,bvslt_bvudiv0,rtl,partial,NA,yes,rtl,(=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t))
1193,bvslt_bvudiv0,rtl,qf,NA,yes,rtl,(=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t))
1194,bvslt_bvudiv0,rtl,rec,NA,yes,rtl,(=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t))
1200,bvslt_bvudiv1,rtl,combined,NA,yes,rtl,(or (bvslt s t) (bvsge t (_ bv0 4)))
1201,bvslt_bvudiv1,rtl,full,NA,yes,rtl,(or (bvslt s t) (bvsge t (_ bv0 4)))
1202,bvslt_bvudiv1,rtl,partial,NA,yes,rtl,(or (bvslt s t) (bvsge t (_ bv0 4)))
1203,bvslt_bvudiv1,rtl,qf,NA,yes,rtl,(or (bvslt s t) (bvsge t (_ bv0 4)))
1204,bvslt_bvudiv1,rtl,rec,NA,yes,rtl,(or (bvslt s t) (bvsge t (_ bv0 4)))
1240,bvslt_bvurem1,rtl,combined,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1241,bvslt_bvurem1,rtl,full,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1242,bvslt_bvurem1,rtl,partial,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1243,bvslt_bvurem1,rtl,qf,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1244,bvslt_bvurem1,rtl,rec,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1265,bvuge_bvadd,rtl,combined,NA,yes,rtl,true
1266,bvuge_bvadd,rtl,full,NA,yes,rtl,true
1267,bvuge_bvadd,rtl,partial,NA,yes,rtl,true
1268,bvuge_bvadd,rtl,qf,NA,yes,rtl,true
1269,bvuge_bvadd,rtl,rec,NA,yes,rtl,true
1290,bvuge_bvand,rtl,combined,NA,yes,rtl,(not (bvult s t))
1292,bvuge_bvand,rtl,partial,NA,yes,rtl,(not (bvult s t))
1315,bvuge_bvashr0,rtl,combined,NA,yes,rtl,true
1316,bvuge_bvashr0,rtl,full,NA,yes,rtl,true
1317,bvuge_bvashr0,rtl,partial,NA,yes,rtl,true
1318,bvuge_bvashr0,rtl,qf,NA,yes,rtl,true
1319,bvuge_bvashr0,rtl,rec,NA,yes,rtl,true
1335,bvuge_bvashr1,rtl,combined,NA,yes,rtl,(not (and (bvult s (bvnot s)) (bvult s t)))
1336,bvuge_bvashr1,rtl,full,NA,yes,rtl,(not (and (bvult s (bvnot s)) (bvult s t)))
1337,bvuge_bvashr1,rtl,partial,NA,yes,rtl,(not (and (bvult s (bvnot s)) (bvult s t)))
1338,bvuge_bvashr1,rtl,qf,NA,yes,rtl,(not (and (bvult s (bvnot s)) (bvult s t)))
1339,bvuge_bvashr1,rtl,rec,NA,yes,rtl,(not (and (bvult s (bvnot s)) (bvult s t)))
1360,bvuge_bvlshr0,rtl,combined,NA,yes,rtl,(= (bvlshr (bvshl t s) s) t)
1361,bvuge_bvlshr0,rtl,full,NA,yes,rtl,(= (bvlshr (bvshl t s) s) t)
1362,bvuge_bvlshr0,rtl,partial,NA,yes,rtl,(= (bvlshr (bvshl t s) s) t)
1363,bvuge_bvlshr0,rtl,qf,NA,yes,rtl,(= (bvlshr (bvshl t s) s) t)
1385,bvuge_bvlshr1,rtl,combined,NA,yes,rtl,(bvuge s t)
1386,bvuge_bvlshr1,rtl,full,NA,yes,rtl,(bvuge s t)
1387,bvuge_bvlshr1,rtl,partial,NA,yes,rtl,(bvuge s t)
1388,bvuge_bvlshr1,rtl,qf,NA,yes,rtl,(bvuge s t)
1389,bvuge_bvlshr1,rtl,rec,NA,yes,rtl,(bvuge s t)
1420,bvuge_bvneg,rtl,combined,NA,yes,rtl,true
1421,bvuge_bvneg,rtl,full,NA,yes,rtl,true
1422,bvuge_bvneg,rtl,partial,NA,yes,rtl,true
1423,bvuge_bvneg,rtl,qf,NA,yes,rtl,true
1424,bvuge_bvneg,rtl,rec,NA,yes,rtl,true
1445,bvuge_bvnot,rtl,combined,NA,yes,rtl,true
1446,bvuge_bvnot,rtl,full,NA,yes,rtl,true
1447,bvuge_bvnot,rtl,partial,NA,yes,rtl,true
1448,bvuge_bvnot,rtl,qf,NA,yes,rtl,true
1449,bvuge_bvnot,rtl,rec,NA,yes,rtl,true
1470,bvuge_bvor,rtl,combined,NA,yes,rtl,true
1471,bvuge_bvor,rtl,full,NA,yes,rtl,true
1472,bvuge_bvor,rtl,partial,NA,yes,rtl,true
1473,bvuge_bvor,rtl,qf,NA,yes,rtl,true
1474,bvuge_bvor,rtl,rec,NA,yes,rtl,true
1505,bvuge_bvshl1,rtl,combined,NA,yes,rtl,(or  (bvuge (bvshl s (_ bv0 4)) t) (bvuge (bvshl s (_ bv1 4)) t) (bvuge (bvshl s (_ bv2 4)) t) (bvuge (bvshl s (_ bv3 4)) t) (bvuge (bvshl s (_ bv4 4)) t))
1507,bvuge_bvshl1,rtl,partial,NA,yes,rtl,(or  (bvuge (bvshl s (_ bv0 4)) t) (bvuge (bvshl s (_ bv1 4)) t) (bvuge (bvshl s (_ bv2 4)) t) (bvuge (bvshl s (_ bv3 4)) t) (bvuge (bvshl s (_ bv4 4)) t))
1515,bvuge_bvudiv0,rtl,combined,NA,yes,rtl,(= (bvand (udivtotal (bvmul s t) t) s) s)
1517,bvuge_bvudiv0,rtl,partial,NA,yes,rtl,(= (bvand (udivtotal (bvmul s t) t) s) s)
1540,bvuge_bvudiv1,rtl,combined,NA,yes,rtl,true
1541,bvuge_bvudiv1,rtl,full,NA,yes,rtl,true
1542,bvuge_bvudiv1,rtl,partial,NA,yes,rtl,true
1543,bvuge_bvudiv1,rtl,qf,NA,yes,rtl,true
1544,bvuge_bvudiv1,rtl,rec,NA,yes,rtl,true
1565,bvuge_bvurem0,rtl,combined,NA,yes,rtl,(bvuge (bvnot (bvneg s)) t)
1566,bvuge_bvurem0,rtl,full,NA,yes,rtl,(bvuge (bvnot (bvneg s)) t)
1567,bvuge_bvurem0,rtl,partial,NA,yes,rtl,(bvuge (bvnot (bvneg s)) t)
1568,bvuge_bvurem0,rtl,qf,NA,yes,rtl,(bvuge (bvnot (bvneg s)) t)
1569,bvuge_bvurem0,rtl,rec,NA,yes,rtl,(bvuge (bvnot (bvneg s)) t)
1590,bvuge_bvurem1,rtl,combined,NA,yes,rtl,(or (bvuge (bvand (bvsub (bvadd t t) s) s) t) (bvult t s))
1592,bvuge_bvurem1,rtl,partial,NA,yes,rtl,(or (bvuge (bvand (bvsub (bvadd t t) s) s) t) (bvult t s))
1615,bvugt_bvadd,rtl,combined,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
1616,bvugt_bvadd,rtl,full,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
1617,bvugt_bvadd,rtl,partial,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
1618,bvugt_bvadd,rtl,qf,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
1619,bvugt_bvadd,rtl,rec,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
1640,bvugt_bvand,rtl,combined,NA,yes,rtl,(bvult t s)
1642,bvugt_bvand,rtl,partial,NA,yes,rtl,(bvult t s)
1665,bvugt_bvashr0,rtl,combined,NA,yes,rtl,(bvult t (bvnot (_ bv0 4)))
1666,bvugt_bvashr0,rtl,full,NA,yes,rtl,(bvult t (bvnot (_ bv0 4)))
1667,bvugt_bvashr0,rtl,partial,NA,yes,rtl,(bvult t (bvnot (_ bv0 4)))
1668,bvugt_bvashr0,rtl,qf,NA,yes,rtl,(bvult t (bvnot (_ bv0 4)))
1669,bvugt_bvashr0,rtl,rec,NA,yes,rtl,(bvult t (bvnot (_ bv0 4)))
1685,bvugt_bvashr1,rtl,combined,NA,yes,rtl,(or (bvslt s (bvlshr s (bvnot t))) (bvult t s))
1687,bvugt_bvashr1,rtl,partial,NA,yes,rtl,(or (bvslt s (bvlshr s (bvnot t))) (bvult t s))
1735,bvugt_bvlshr1,rtl,combined,NA,yes,rtl,(bvult t s)
1736,bvugt_bvlshr1,rtl,full,NA,yes,rtl,(bvult t s)
1737,bvugt_bvlshr1,rtl,partial,NA,yes,rtl,(bvult t s)
1738,bvugt_bvlshr1,rtl,qf,NA,yes,rtl,(bvult t s)
1739,bvugt_bvlshr1,rtl,rec,NA,yes,rtl,(bvult t s)
1770,bvugt_bvneg,rtl,combined,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
1771,bvugt_bvneg,rtl,full,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
1772,bvugt_bvneg,rtl,partial,NA,yes,rtl,(distinct t (bvnot (_ bv0 4)))
