DIRECTORY;cluster_results
BENCHMARK;STAT;RES;EXIT;CPU[s];SPACE[MB]
cvc4_default/syntax_g-find_inv_bvugt_bvlshr0_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_g-find_inv_bvugt_bvlshr1_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_g-find_inv_bvugt_bvmul_4bit.sy;mo;-;3;581.94;4008.3
cvc4_default/syntax_g-find_inv_bvugt_bvneg_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvugt_bvnot_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvugt_bvor_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvugt_bvshl0_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_g-find_inv_bvugt_bvshl1_4bit.sy;mo;-;3;429.41;4009.9
cvc4_default/syntax_g-find_inv_bvugt_bvudiv0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvugt_bvudiv1_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvugt_bvurem0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvugt_bvurem1_4bit.sy;ok;20;0;0.01;0.8
cvc4_default/syntax_g-find_inv_bvule_bvadd_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvule_bvand_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvule_bvashr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvule_bvashr1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvule_bvlshr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvule_bvlshr1_4bit.sy;ok;20;0;0.0;0.3
cvc4_default/syntax_g-find_inv_bvule_bvmul_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_g-find_inv_bvule_bvneg_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvule_bvnot_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvule_bvor_4bit.sy;ok;20;0;0.0;0.4
